date,tc=0_tv=0.1,tc=0.001_tv=0.1,tc=0.0025_tv=0.1,tc=0.005_tv=0.1,tc=0_tv=0.15,tc=0.001_tv=0.15,tc=0.0025_tv=0.15,tc=0.005_tv=0.15,tc=0_tv=0.2,tc=0.001_tv=0.2,tc=0.0025_tv=0.2,tc=0.005_tv=0.2,tc=0_tv=0.25,tc=0.001_tv=0.25,tc=0.0025_tv=0.25,tc=0.005_tv=0.25,tc=0_tv=inf,tc=0.001_tv=inf,tc=0.0025_tv=inf,tc=0.005_tv=inf
2018-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-16,-0.005145667679427257,-0.005166981907814838,-0.005198953250396099,-0.005252238821365052,-0.00630912028116748,-0.006325158635924866,-0.006349216168060834,-0.006389312054954521,-0.00630912028116748,-0.006325158635924866,-0.006349216168060945,-0.006389312054954521,-0.00630912028116748,-0.006325158635924866,-0.006349216168060945,-0.006389312054954521,-0.00630912028116748,-0.006325158635924755,-0.006349216168060834,-0.006389312054954521
2018-01-17,-0.001488059666764352,-0.0015484936052115872,-0.001639141376163944,-0.001790212629836474,-0.002035399630419099,-0.0020580886083068073,-0.0020921216767729733,-0.0021488423952434887,-0.002035399630419099,-0.0020580886083066963,-0.0020921216767729733,-0.0021488423952434887,-0.002035399630419099,-0.0020580886083066963,-0.0020921216767729733,-0.0021488423952434887,-0.00203539963041921,-0.0020580886083066963,-0.0020921216767729733,-0.0021488423952435998
2018-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-24,-0.002494551647113319,-0.002507619155318719,-0.002527220417626874,-0.0025598891881406516,-0.0030050043198704968,-0.0030207009265811324,-0.003044245836646975,-0.003083487353423342,-0.0030050043198704968,-0.0030207009265811324,-0.003044245836646975,-0.003083487353423453,-0.0030050043198704968,-0.0030207009265811324,-0.003044245836646975,-0.003083487353423342,-0.0030050043198704968,-0.0030207009265812435,-0.003044245836646975,-0.003083487353423342
2018-01-25,-0.0011821150818044357,-0.0012340852961660875,-0.001312038707405927,-0.001441955965330699,-0.001495694453262808,-0.0015236106874171318,-0.0015654843185970435,-0.001635271783759995,-0.001495694453262808,-0.0015236106874171318,-0.0015654843185971545,-0.001635271783760106,-0.001495694453262808,-0.0015236106874171318,-0.0015654843185971545,-0.001635271783759884,-0.001495694453262808,-0.0015236106874172428,-0.0015654843185971545,-0.001635271783759995
2018-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-29,-0.0050692480569679566,-0.005104775150414631,-0.005158065790584754,-0.00524688352420144,-0.006323181053182414,-0.006331492663156579,-0.006343960078117772,-0.00636473910305313,-0.006323181053182414,-0.006331492663156579,-0.006343960078117772,-0.00636473910305313,-0.006323181053182414,-0.006331492663156579,-0.006343960078117772,-0.00636473910305313,-0.006323181053182303,-0.006331492663156468,-0.006343960078117772,-0.00636473910305313
2018-01-30,-0.008145558226067662,-0.00819074160871247,-0.008258515374894304,-0.008371468164436346,-0.010120618832671235,-0.010141648159208594,-0.010173191749100141,-0.01022576333247982,-0.010120618832671235,-0.010141648159208594,-0.01017319174910003,-0.01022576333247982,-0.010120618832671235,-0.010141648159208594,-0.01017319174910003,-0.01022576333247982,-0.010120618832671124,-0.010141648159208705,-0.01017319174910003,-0.010225763332479931
2018-01-31,-0.0032660270258613178,-0.0033460063846108,-0.0034659682021654925,-0.0036658853105114853,-0.004350193615128228,-0.0043813450989161895,-0.004428071125717192,-0.004505944640090465,-0.004350193615128339,-0.0043813450989163005,-0.004428071125717081,-0.0045059446400903536,-0.004350193615128228,-0.0043813450989161895,-0.004428071125717081,-0.0045059446400903536,-0.004350193615128117,-0.0043813450989163005,-0.004428071125717192,-0.004505944640090465
2018-02-01,-0.012333642425105817,-0.012511309231894585,-0.01277777267298752,-0.013221780367341895,-0.016505296764477873,-0.01654396603053021,-0.016601967818688612,-0.016698631836678746,-0.016505296764478095,-0.01654396603053032,-0.0166019678186885,-0.016698631836678524,-0.016505296764477873,-0.01654396603053032,-0.016601967818688612,-0.016698631836678635,-0.01650529676447776,-0.016543966030530433,-0.016601967818688612,-0.016698631836678746
2018-02-02,-0.022317615559978354,-0.022574873060378198,-0.022960668010233665,-0.023603416175081215,-0.03141800177880505,-0.031481512989751215,-0.031576773978015726,-0.031735526750948484,-0.031505832511407816,-0.03157051473849648,-0.03166753207799489,-0.03182921164173902,-0.031505832511407594,-0.03157051473849637,-0.031667532077995,-0.03182921164173913,-0.031505832511407594,-0.03157051473849648,-0.03166753207799511,-0.03182921164173924
